title,author,slug,cover_image,release_date,date_read,status,comment,ai_comment,rating,country,book_url,isbn,language,translated_from,genre
Hooked,Asako Yuzuki,hooked,hooked.png,2015,2026-03-01,reading,--,"A tense novel of obsession and female friendship, where loneliness, status, and performance slowly curdle into fixation.",,Japan,https://openlibrary.org/search?title=Hooked&author=Asako+Yuzuki,,,,
The Impossible City,Karen Cheung,the-impossible-city,impossible_city.png,2022,2025-07-18,read,"Parts were fantastic and made me feel like I was living real life in Hong Kong. Some sections were too specialized in the author's arts scene, but the pressure of daily life and choices really made me think.","A raw, affectionate map of Hong Kong that balances grief, humor, and the weight of belonging.",4,Hong Kong,https://openlibrary.org/search?title=The+Impossible+City&author=Karen+Cheung,,,,
The Book of Tokyo,M.Emnrich et al,the-book-of-tokyo,book_of_tokyo.png,2015,2025-07-23,read,--,Snapshots of Tokyo that feel like overheard conversations and fleeting neon reflections.,4,Japan,https://openlibrary.org/search?title=The+Book+of+Tokyo&author=M.Emnrich+et+al,,,,
Strange Houses,Uketsu,strange-houses,strange_houses.png,2025,2025-07-19,read,Easy-to-read crime novel that hooks you quickly and keeps the story moving. I liked it a lot.,"Short, uncanny folktales where the walls are listening and the exits keep moving.",4,Japan,https://openlibrary.org/search?title=Strange+Houses&author=Uketsu,,,,
XI - A Study in Power,Kerry Brown,xi-a-study-in-power,xia.png,2022,2025-06-10,read,A very detailed look at Xi's politics. Interesting and one more step in my journey to understand the China to come.,Coolly argued biography that reads like a blueprint for consolidated power.,3,UK,https://openlibrary.org/search?title=XI+-+A+Study+in+Power&author=Kerry+Brown,,,,
Cold Enough for Snow,Jessica Au,cold-enough-for-snow,cold_snow.png,2022,2024-05-01,read,--,A quiet river of a novella that asks how memory edits love and duty.,4,Australia,https://openlibrary.org/works/OL25803689W,0811231569,English,,
The Wind-Up Bird Chronicle,Haruki Murakami,the-wind-up-bird-chronicle,wind_up_bird.png,1994,2024-05-20,read,--,"Surreal wells, missing cats, and the sense that reality might be one hallway over.",5,Japan,https://openlibrary.org/works/OL28603512W,1329807529,English,,
Heaven,Mieko Kawakami,heaven,heaven.png,2009,2024-06-02,read,--,Bleak and tender; examines cruelty at school without easy absolution.,4,Japan,https://openlibrary.org/search?title=Heaven&author=Mieko+Kawakami,,,,
Butter,Asako Yuzuki,butter,butter.png,2017,2024-07-21,read,--,Food writing meets true crime; rich meals used to expose class and hunger.,4,Japan,https://openlibrary.org/search?title=Butter&author=Asako+Yuzuki,,,,
Mild Vertigo,Mieko Kanai,mild-vertigo,vertigo.png,1997,2024-06-17,read,--,"Domestic repetition rendered hypnotic, as if watching thoughts loop in real time.",4,Japan,https://openlibrary.org/search?title=Mild+Vertigo&author=Mieko+Kanai,,,,
The Last Childeren of Tokyo,Yoko Tawada,the-last-childeren-of-tokyo,last_children.png,2014,2024-06-01,read,--,Post-Fukushima dystopia drawn with delicate absurdity.,4,Japan,https://openlibrary.org/search?title=The+Last+Childeren+of+Tokyo&author=Yoko+Tawada,,,,
Project Hail Mary,Andy Weir,project-hail-mary,hail_mary.png,2021,2024-09-11,read,--,High-school-teacher-in-space story powered by puzzles and dad jokes.,4,USA,https://openlibrary.org/search?title=Project+Hail+Mary&author=Andy+Weir,,,,
Piranesi,Susanna Clarke,piranesi,piranesi.png,2020,2024-10-10,read,--,"Marble halls, tides, and a narrator who loves the labyrinth more than answers.",5,UK,https://openlibrary.org/search?title=Piranesi&author=Susanna+Clarke,,,,
City on Fire: The Fight for Hong Kong,Antony Dapiran,city-on-fire-the-fight-for-hong-kong,city_on_fire.png,2020,2025-07-23,reading,--,"Clear, reporterly walk-through of 2019 protests with legal context.",4,Australia,https://openlibrary.org/search?title=City+on+Fire%3A+The+Fight+for+Hong+Kong&author=Antony+Dapiran,,,,
The Hole,Hiroko Oyamada,the-hole,the_hole.png,2014,2024-11-01,read,--,Languid surrealism about falling out of work and into a literal hole.,4,Japan,https://openlibrary.org/search?title=The+Hole&author=Hiroko+Oyamada,,,,
Cursed Bunny,Bora Chung,cursed-bunny,cursed_bunny.png,2017,2024-11-15,read,--,Body horror fables with a sardonic narrator; brings its own cursed energy.,4,South Korea,https://openlibrary.org/search?title=Cursed+Bunny&author=Bora+Chung,,,,
Dream of Ding Village,Yan Lianke,dream-of-ding-village,dream_of_ding_village.png,2005,2024-10-25,read,--,Village-level tragedy of blood selling; mordant and musical.,4,China,https://openlibrary.org/search?title=Dream+of+Ding+Village&author=Yan+Lianke,,,,
Tokyo Ueno Station,Miri Yu,tokyo-ueno-station,ueno_station.png,2014,2024-07-28,read,--,Ghostly monologue of a laborer haunting the park he once slept in.,4,Japan,https://openlibrary.org/search?title=Tokyo+Ueno+Station&author=Miri+Yu,,,,
Life Ceremony,Sayaka Murata,life-ceremony,life_ceremony.png,2019,2024-08-22,read,--,"Inventive, grotesque rites that question norms with deadpan delivery.",4,Japan,https://openlibrary.org/search?title=Life+Ceremony&author=Sayaka+Murata,,,,
